address,insn,classification,evidence,reason
0x180007e06,28,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 28 instructions; cannot be decided from static refs
0x18000f350,28,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 28 instructions; cannot be decided from static refs
0x180012b1e,28,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 28 instructions; cannot be decided from static refs
0x18001e682,27,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 27 instructions; cannot be decided from static refs
0x18003a6c0,26,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 26 instructions; cannot be decided from static refs
0x18003e479,26,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 26 instructions; cannot be decided from static refs
0x18003e5e9,26,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 26 instructions; cannot be decided from static refs
0x18003e759,26,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 26 instructions; cannot be decided from static refs
0x18003e8c9,26,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 26 instructions; cannot be decided from static refs
0x18003ea39,26,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 26 instructions; cannot be decided from static refs
0x1800446bd,26,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 26 instructions; cannot be decided from static refs
0x18004748c,26,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 26 instructions; cannot be decided from static refs
0x18001e46c,25,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 25 instructions; cannot be decided from static refs
0x18001e610,25,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 25 instructions; cannot be decided from static refs
0x180020839,25,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 25 instructions; cannot be decided from static refs
0x180023c10,25,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 25 instructions; cannot be decided from static refs
0x18003e39b,25,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 25 instructions; cannot be decided from static refs
0x180045d70,24,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 24 instructions; cannot be decided from static refs
0x18001e4be,23,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 23 instructions; cannot be decided from static refs
0x18001e517,23,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 23 instructions; cannot be decided from static refs
0x1800445f9,23,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 23 instructions; cannot be decided from static refs
0x180047170,23,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 23 instructions; cannot be decided from static refs
0x1800107a0,22,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 22 instructions; cannot be decided from static refs
0x180020610,22,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 22 instructions; cannot be decided from static refs
0x180020770,22,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 22 instructions; cannot be decided from static refs
0x180008a45,21,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 21 instructions; cannot be decided from static refs
0x1800207d0,21,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 21 instructions; cannot be decided from static refs
0x180045cd9,21,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 21 instructions; cannot be decided from static refs
0x180006216,20,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 20 instructions; cannot be decided from static refs
0x18002c710,20,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 20 instructions; cannot be decided from static refs
0x18002d830,20,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 20 instructions; cannot be decided from static refs
0x180045d26,20,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 20 instructions; cannot be decided from static refs
0x180055090,20,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 20 instructions; cannot be decided from static refs
0x18003a653,19,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 19 instructions; cannot be decided from static refs
0x180045ff0,19,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 19 instructions; cannot be decided from static refs
0x18004607d,19,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 19 instructions; cannot be decided from static refs
0x180046fbf,19,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 19 instructions; cannot be decided from static refs
0x1800130e0,18,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 18 instructions; cannot be decided from static refs
0x180040890,18,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 18 instructions; cannot be decided from static refs
0x180016870,17,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 17 instructions; cannot be decided from static refs
0x180037a40,17,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 17 instructions; cannot be decided from static refs
0x18003a370,17,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 17 instructions; cannot be decided from static refs
0x180054d95,17,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 17 instructions; cannot be decided from static refs
0x18001084f,16,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 16 instructions; cannot be decided from static refs
0x180016820,16,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 16 instructions; cannot be decided from static refs
0x18002c9d0,16,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 16 instructions; cannot be decided from static refs
0x18002cb60,16,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 16 instructions; cannot be decided from static refs
0x18002d7b0,16,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 16 instructions; cannot be decided from static refs
0x18002d7f0,16,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 16 instructions; cannot be decided from static refs
0x18002d880,16,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 16 instructions; cannot be decided from static refs
0x18002d8c0,16,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 16 instructions; cannot be decided from static refs
0x180010c40,15,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 15 instructions; cannot be decided from static refs
0x180014590,15,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 15 instructions; cannot be decided from static refs
0x180019802,15,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 15 instructions; cannot be decided from static refs
0x18003a830,15,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 15 instructions; cannot be decided from static refs
0x180010885,14,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 14 instructions; cannot be decided from static refs
0x180010aa0,14,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 14 instructions; cannot be decided from static refs
0x18002dad0,14,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 14 instructions; cannot be decided from static refs
0x180045fc0,14,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 14 instructions; cannot be decided from static refs
0x1800108c0,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x1800133b0,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180014dd0,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x18001b34a,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180039730,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x18003cd70,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x1800519f0,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x1800522c0,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x1800523c0,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180052750,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180052790,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180052e10,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180052e50,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180052e80,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180052f30,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180052f70,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180052fe0,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180053010,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180053090,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180053120,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180053150,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x1800532d0,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180053420,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x1800534e0,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180053510,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
