address,insn,name,class,evidence,action
0x18002c970,12,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.727 (0x180042b50),needs manual adjudication
0x18002c9a0,12,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.727 (0x180042b50),needs manual adjudication
0x18002c9d0,16,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.552 (0x180005750),needs manual adjudication
0x18002ca70,12,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.727 (0x180042b50),needs manual adjudication
0x18002caf0,12,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.727 (0x180042b50),needs manual adjudication
0x18002cb60,16,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.875 (0x180001e00),needs manual adjudication
0x18002d170,94,,ABSENT-PLUGIN,"plugin func 0x180028190  0x1800282a6  void __cdecl `anonymous-namespace'; plugin string 'window.slppCatalogReset({});window.slppCatalogProgress(0,{});' | prior=library | tier=library (unreached) | best cross-all ratio=0.000","implement (plugin-owned, no rebuild match)"
0x18002d340,67,,ABSENT-PLUGIN,plugin func 0x180028190  0x1800282a6  void __cdecl `anonymous-namespace'; plugin string 'window.slppCatalogDone({});' | prior=library | tier=library (unreached) | best cross-all ratio=0.000,"implement (plugin-owned, no rebuild match)"
0x18002dad0,14,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.667 (0x180020260),needs manual adjudication
0x18002dbf3,6,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.833 (0x180020381),needs manual adjudication
0x180037490,9,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.000,"implement (plugin-owned, no rebuild match)"
