orig_addr,name,area,tier,real_function,orig_insn,named,basis
0x18002bea0,,core,library,yes,11,no,
0x18003a143,,core,library,yes,11,no,
0x18003af59,,core,library,yes,11,no,
0x18003cb27,,core,library,yes,11,no,
0x18003e380,,core,library,yes,11,no,
0x1800404aa,,core,library,yes,11,no,
0x1800408ed,,core,library,yes,11,no,
0x1800470fe,,core,library,yes,11,no,
0x18004738d,,core,library,yes,11,no,
0x180047470,,core,library,yes,11,no,
0x1800133e1,,core,library,yes,10,no,
0x18001e708,,core,library,yes,10,no,
0x18002a850,,core,library,yes,10,no,
0x180037aad,,core,library,yes,10,no,
0x18003a110,,core,library,yes,10,no,
0x18003a3da,,core,library,yes,10,no,
0x18003c9f0,,core,library,yes,10,no,
0x180054d30,,core,library,yes,10,no,
0x180016317,,core,library,yes,9,no,
0x180023b60,,core,library,yes,9,no,
0x180037490,,core,library,yes,9,no,
0x1800374bd,,core,library,yes,9,no,
0x18003751e,,core,library,yes,9,no,
0x180037840,,core,library,yes,9,no,
0x18003786d,,core,library,yes,9,no,
0x180037ae0,,core,library,yes,9,no,
0x180037b0d,,core,library,yes,9,no,
0x1800390dd,,core,library,yes,9,no,
0x180039120,,core,library,yes,9,no,
0x18003914d,,core,library,yes,9,no,
0x18003a45d,,core,library,yes,9,no,
0x18003a801,,core,library,yes,9,no,
0x1800530c0,,core,library,yes,9,no,
0x1800530f0,,core,library,yes,9,no,
0x180054540,,core,library,yes,9,no,
0x180054630,,core,library,yes,9,no,
0x1800546d0,,core,library,yes,9,no,
0x1800161d0,,core,library,yes,8,no,
0x18001e65b,,core,library,yes,8,no,
0x18001e6f3,,core,library,yes,8,no,
0x180027ce6,,core,library,yes,8,no,
0x1800374f0,,core,library,yes,8,no,
0x18003970a,,core,library,yes,8,no,
0x18003e3e5,,core,library,yes,8,no,
0x180044720,,core,library,yes,8,no,
0x180046050,,core,library,yes,8,no,
0x180046ed2,,core,library,yes,8,no,
0x180047371,,core,library,yes,8,no,
0x180008a30,,core,library,yes,7,no,
0x180010820,,core,library,yes,7,no,
0x180010cb0,,core,library,yes,7,no,
0x180014f16,,core,library,yes,7,no,
0x1800208a0,,core,library,yes,7,no,
0x180027cc3,,core,library,yes,7,no,
0x18002a270,,core,library,yes,7,no,
0x18002a6e0,,core,library,yes,7,no,
0x18002a830,,core,library,yes,7,no,
0x18003a3b7,,core,library,yes,7,no,
0x1800474e3,,core,library,yes,7,no,
0x180047e40,,core,library,yes,7,no,
0x18004ccd1,,core,library,yes,7,no,
0x180054ddc,,core,library,yes,7,no,
0x180010839,,core,library,yes,6,no,
0x1800108fb,,core,library,yes,6,no,
0x180013254,,core,library,yes,6,no,
0x180013268,,core,library,yes,6,no,
0x1800146d3,,core,library,yes,6,no,
0x180016b0c,,core,library,yes,6,no,
0x18001b380,,core,library,yes,6,no,
0x18001e6e5,,core,library,yes,6,no,
0x180029200,,core,library,yes,6,no,
0x18002a3ec,,core,library,yes,6,no,
0x18002a802,,core,library,yes,6,no,
0x18002a87f,,core,library,yes,6,no,
0x18002dbf3,,core,library,yes,6,no,
0x180045995,,core,library,yes,6,no,
0x180046069,,core,library,yes,6,no,
0x1800470ed,,core,library,yes,6,no,
0x180008a98,,core,library,yes,5,no,
0x180013696,,core,library,yes,5,no,
0x18001e506,,core,library,yes,5,no,
0x18003cb1d,,core,library,yes,5,no,
0x1800108f0,,core,library,yes,4,no,
0x180014571,,core,library,yes,4,no,
0x180016339,,core,library,yes,4,no,
0x18001eaf1,,core,library,yes,4,no,
0x18003a171,,core,library,yes,4,no,
0x180045988,,core,library,yes,4,no,
0x1800459e2,,core,library,yes,4,no,
0x1800459f4,,core,library,yes,4,no,
0x1800460c5,,core,library,yes,4,no,
0x180054d70,,core,library,yes,4,no,
0x180054d84,,core,library,yes,4,no,
0x18002961e,,core,library,yes,3,no,
0x1800374e6,,core,library,yes,3,no,
0x180037547,,core,library,yes,3,no,
0x180037896,,core,library,yes,3,no,
0x180037b36,,core,library,yes,3,no,
0x180039106,,core,library,yes,3,no,
0x180039176,,core,library,yes,3,no,
0x18003a486,,core,library,yes,3,no,
0x180005629,,core,library,yes,2,no,
0x180016b02,,core,library,yes,2,no,
0x180045980,,core,library,yes,2,no,
0x180007e01,,core,library,yes,1,no,
0x18001368e,,core,library,yes,1,no,
0x18001e501,,core,library,yes,1,no,
0x18001e6e0,,core,library,yes,1,no,
0x1800233e0,,core,library,no(gap-scan),47,no,
0x180020770,,core,library,no(gap-scan),22,no,
0x18002e340,,core,library,no(gap-scan),22,no,
0x18002d830,,core,library,no(gap-scan),20,no,
0x180045ff0,,core,library,no(gap-scan),19,no,
0x18002d7b0,,core,library,no(gap-scan),16,no,
0x18002d7f0,,core,library,no(gap-scan),16,no,
0x18002d880,,core,library,no(gap-scan),16,no,
0x18002d8c0,,core,library,no(gap-scan),16,no,
0x180010c40,,core,library,no(gap-scan),15,no,
0x18004fb10,,core,library,no(gap-scan),15,no,
0x180045fc0,,core,library,no(gap-scan),14,no,
0x180010c80,,core,library,no(gap-scan),9,no,
0x180039180,,core,library,no(gap-scan),9,no,
0x180046030,,core,library,no(gap-scan),7,no,
0x180010ad0,,core,library,no(gap-scan),6,no,
0x180016420,,core,library,no(gap-scan),6,no,
0x180016440,,core,library,no(gap-scan),6,no,
0x180016460,,core,library,no(gap-scan),6,no,
0x18002ca10,,core,library,no(gap-scan),6,no,
0x180010790,,core,library,no(gap-scan),5,no,
0x180016860,,core,library,no(gap-scan),5,no,
0x180016d80,,core,library,no(gap-scan),5,no,
0x18002cc20,.?AV?$_Func_impl_no_alloc@P6AXPEAUStaticFunctionTag@RE@@H@ZXPEAU12@H@std@@::vfunc[2],unclassified,library,no(gap-scan),5,yes,
0x180016d70,,core,library,no(gap-scan),4,no,
0x180016da0,,core,library,no(gap-scan),4,no,
0x180016bf0,,core,library,no(gap-scan),3,no,
0x18004fc04,,core,library,no(gap-scan),3,no,
0x18004fcec,,core,library,no(gap-scan),3,no,
0x1800521f0,,core,library,no(gap-scan),3,no,
0x180052fd0,,core,library,no(gap-scan),3,no,
0x180053620,,core,library,no(gap-scan),3,no,
