orig_addr,name,tier,orig_insn,our_insn,bytematch,insnratio,first_div,anchor
0x180037a8a,,library,7,43,0,0.2000,0,callgraph
0x180044ab0,,plugin,58,78,0,0.1912,0,callgraph
0x18002c0d0,void __cdecl `anonymous-namespace'::RequestSearchInput(const char *),plugin,88,204,0,0.1849,1,name
0x1800255c0,void __cdecl `anonymous-namespace'::RequestSearchInput::<lambda_1>::operator ()(void) const,plugin,125,201,0,0.1840,4,callgraph
0x180027c80,,library,14,34,0,0.1667,0,callgraph
0x18001e3b0,,plugin,52,82,0,0.1642,0,callgraph
0x1800282b0,,plugin,390,195,0,0.1607,0,callgraph
0x180023d70,void *__cdecl RE::BSIntrusiveRefCounted::operator new(unsigned __int64),library,21,80,0,0.1584,0,callgraph
0x18002a29b,void __cdecl `anonymous-namespace'::Papyrus_CatalogFinish(struct RE::StaticFunctionTag *),plugin,58,167,0,0.1511,0,alias
0x1800168ac,,library,41,26,0,0.1493,0,callgraph
0x18003d160,,plugin,163,151,0,0.1465,0,callgraph
0x180020659,,library,80,116,0,0.1429,0,callgraph
0x18002cfd0,auto __cdecl `anonymous-namespace'::DispatchAction::<lambda_1>::operator ()(void) const,plugin,85,62,0,0.1361,0,string
0x18003970a,,library,8,37,0,0.1333,0,callgraph
0x18001f690,auto __cdecl `anonymous-namespace'::CreateViews::<lambda_2>::operator ()(const char *) const,plugin,41,160,0,0.1294,0,string
0x180037840,,plugin,9,39,0,0.1250,0,callgraph
0x18003a430,,plugin,9,39,0,0.1250,0,callgraph
0x180024080,,library,244,429,0,0.1248,0,callgraph
0x180029218,,plugin,40,72,0,0.1071,0,string
0x180029740,,plugin,549,170,0,0.1057,0,callgraph
0x180016956,,library,115,32,0,0.0952,0,callgraph
0x18004c390,,library,18,3,0,0.0952,0,rtti
0x18002a70b,void __cdecl `anonymous-namespace'::Papyrus_CatalogPublish(struct RE::StaticFunctionTag *),plugin,41,150,0,0.0942,0,alias
0x180013122,"void __cdecl FocusRecovery::Begin(class PRISMA_UI_API::IVPrismaUI1 *,unsigned __int64,const struct std::atomic<bool> *,const struct std::atomic<bool> *)",plugin,51,249,0,0.0933,0,name
0x1800246b0,auto __cdecl `anonymous-namespace'::PublishCatalogToUi::<lambda_1>::operator ()(void) const,plugin,446,537,0,0.0875,0,callgraph
0x18002c260,void __cdecl `anonymous-namespace'::SendAction(const char *),plugin,124,136,0,0.0846,0,alias
0x1800273a0,,plugin,581,321,0,0.0843,0,string
0x180013408,"void __cdecl FocusRecovery::`anonymous-namespace'::CheckUnfocus(unsigned __int64,int)",plugin,152,33,0,0.0757,0,callgraph
0x18001f980,auto __cdecl `anonymous-namespace'::CreateViews::<lambda_5>::operator ()(const char *) const,plugin,70,338,0,0.0686,0,string
0x18004bff0,,library,98,49,0,0.0680,0,rtti
0x180017390,,plugin,30,30,0,0.0667,0,callgraph
0x180046db0,,plugin,14,21,0,0.0571,0,callgraph
0x1800261e0,void __cdecl `anonymous-namespace'::ApplyPresentation(void),plugin,326,52,0,0.0529,0,alias
0x18003cf00,,library,168,65,0,0.0429,0,callgraph
0x180044c00,,plugin,47,2,0,0.0408,0,callgraph
0x1800480e0,,plugin,2,47,0,0.0408,0,callgraph
0x18002cb60,,library,16,413,0,0.0280,0,callgraph
0x180001000,,library,2,,0,0.0000,,
0x1800010f0,,library,2,,0,0.0000,,
0x180001100,,library,12,,0,0.0000,,
0x180001150,,library,2,,0,0.0000,,
0x180001160,,library,2,,0,0.0000,,
0x1800011d0,,library,2,,0,0.0000,,
0x180001d20,,plugin,33,,0,0.0000,,
0x180001d94,,library,112,,0,0.0000,,
0x180005629,,library,2,,0,0.0000,,
0x1800058ad,,library,113,,0,0.0000,,
0x180005a2e,,library,46,,0,0.0000,,
0x180005cee,,library,116,,0,0.0000,,
0x180005e92,,library,44,,0,0.0000,,
0x180006110,,plugin,73,,0,0.0000,,
0x180006216,,library,20,,0,0.0000,,
0x180006262,,library,11,,0,0.0000,,
0x180006290,,library,42,,0,0.0000,,
0x180007dd0,,plugin,13,7,0,0.0000,0,callgraph
0x180007e01,,library,1,,0,0.0000,,
0x180007e06,,library,28,,0,0.0000,,
0x180007e68,,library,39,,0,0.0000,,
0x180008a30,,library,7,,0,0.0000,,
0x180008a45,,library,21,,0,0.0000,,
0x180008a98,,library,5,,0,0.0000,,
0x18000d194,,library,356,,0,0.0000,,
0x18000f350,,plugin,28,,0,0.0000,,
0x18000fea0,,plugin,11,,0,0.0000,,
0x18000fef0,,plugin,102,,0,0.0000,,
0x180010070,,library,21,,0,0.0000,,
0x1800101e0,,library,15,,0,0.0000,,
0x1800102f0,,library,23,,0,0.0000,,
0x180010460,,plugin,30,,0,0.0000,,
0x1800104e0,,library,2,,0,0.0000,,
0x180010580,,library,2,,0,0.0000,,
0x180010710,,library,2,,0,0.0000,,
0x180010780,,library,2,,0,0.0000,,
0x180010790,,library,5,,0,0.0000,,
0x1800107a0,,library,22,,0,0.0000,,
0x180010810,,library,1,,0,0.0000,,
0x180010820,,library,7,,0,0.0000,,
0x180010839,,library,6,,0,0.0000,,
0x18001084f,,library,16,,0,0.0000,,
0x180010885,,library,14,,0,0.0000,,
0x1800108c0,,library,13,,0,0.0000,,
0x1800108f0,,library,4,,0,0.0000,,
0x1800108fb,,library,6,,0,0.0000,,
0x180010990,,library,40,,0,0.0000,,
0x180010a20,,library,1,,0,0.0000,,
0x180010aa0,,library,14,,0,0.0000,,
0x180010af0,,library,2,,0,0.0000,,
0x180010b20,,library,55,,0,0.0000,,
0x180010c30,,library,1,,0,0.0000,,
0x180010c40,,library,15,,0,0.0000,,
0x180010c80,,library,9,,0,0.0000,,
0x180010ca0,,library,1,,0,0.0000,,
0x180010cb0,,library,7,,0,0.0000,,
0x180012a60,,plugin,49,,0,0.0000,,
0x180012b1e,,library,28,,0,0.0000,,
0x180012b85,,library,12,,0,0.0000,,
0x1800130e0,,plugin,18,,0,0.0000,,
0x180013254,,library,6,,0,0.0000,,
0x180013268,,library,6,,0,0.0000,,
0x1800133b0,,library,13,,0,0.0000,,
0x1800133e1,,library,10,,0,0.0000,,
0x18001368e,,library,1,,0,0.0000,,
0x180013696,,library,5,,0,0.0000,,
0x1800136b0,void __cdecl FocusRecovery::`anonymous-namespace'::CloseOwnedConsole(void),plugin,32,,0,0.0000,,
0x180013760,void __cdecl FocusRecovery::`anonymous-namespace'::Finalize(unsigned __int64),plugin,110,,0,0.0000,,
0x180013920,,plugin,53,,0,0.0000,,
0x180013a10,,plugin,1,,0,0.0000,,
0x180013a18,,library,1,,0,0.0000,,
0x180013a20,,library,349,,0,0.0000,,
0x180013f20,,plugin,99,,0,0.0000,,
0x180014360,void __cdecl FocusRecovery::`anonymous-namespace'::StartConsolePulse(unsigned __int64),plugin,44,,0,0.0000,,
0x180014428,void __cdecl FocusRecovery::`anonymous-namespace'::StartConsolePulse(unsigned __int64),plugin,68,,0,0.0000,,
